,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
1397,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2654-albamar-parque-habich-jesus-maria-lima-lima-albamar-grupo-inmobiliario,Albamar | Parque Habich,-12.07210452019679,-77.03913694737307,JR.PABLO BERMUDEZ N N°316 - JESÚS MARÍA,Jesus Maria,En construcción,"30 de Septiembre, 2024",Otros,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 1,Pisos: 4 y 5,2,60.00 m2,"S/ 476,000"
1026,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3219-taller-miraflores-lima-lima-paz,Taller,-12.1129038,-77.0465743,CALLE TORIBIO POLO 450,Miraflores,En planos,"31 de Julio, 2026",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Zona de Parrillas']",flat,14,"Pisos: 3, 6, 10",2,66.88 m2,"S/ 587,652"
123,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2370-samay-santiago-de-surco-lima-lima-paqari-inmobiliaria,Samay,-12.155204766412842,-77.01627910137177,Av. Gral. Edmundo Aguilar Pastor 407,Santiago De Surco,En planos,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 2 A,Pisos: Entre 4 al 12,3,71.40 m2,"S/ 404,267"
2201,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3325-edificio-sialia-jesus-maria-lima-lima-grupo-cygnus,Edificio Sialia,-12.0736972,-77.0466613,"Av. 6 de Agosto 1184, Jesús María",Jesus Maria,En planos,"31 de Mayo, 2027",Banco BCP,"['Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,Tipo 1703,Piso: 17,3,94.47 m2,"S/ 770,743"
3191,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2799-gala-bre%C3%B1a-lima-lima-inversiones-tierra-blanca,GALA,-12.0597544,-77.0535185,Pasaje Mariano Melgar N° 200,Breña,En construcción,"31 de Julio, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,TIPO 1-C,Piso: 14,3,106.80 m2,"S/ 519,900"
4142,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2559-residencial-vernazza-san-miguel-lima-lima-dkasa,Residencial Vernazza,-12.076657250901755,-77.10004986811776,Av. Andres Razuri 364 San Miguel,San Miguel,En construcción,"30 de Junio, 2025","Banco BCP, Otros","['Lobby', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas']",flat,G,Piso: 18,3,82.15 m2,"S/ 532,900"
4364,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2661-palm-living-san-isidro-lima-lima-grupo-t&c,PALM LIVING,-12.0927056,-77.0385929,Calle las Palmeras 291-San Isidro,San Isidro,En construcción,"31 de Octubre, 2026",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Otros']",flat,TIPO 1B,"Pisos: 16, 17, 18",1,45.64 m2,"S/ 406,267"
6225,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2264-all-san-isidro-san-isidro-lima-lima-senda,All San Isidro,-12.09095557512452,-77.0273792821136,Av. Javier Prado Este 595,San Isidro,En construcción,"30 de Noviembre, 2025",Otros,"['Areas verdes', 'Ascensor directo', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 3,Pisos: Entre 2 al 23,1,45.01 m2,"S/ 453,700"
2011,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2851-pietra-d-avanti-san-miguel-lima-lima-rumi-grupo-inmobiliario,PIETRA D' AVANTI,-12.0767242,-77.0983186,AV. LOS PATRIOTAS 418-424,San Miguel,En construcción,"31 de Julio, 2025",Banco BCP,"['Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,F,Pisos: Entre 2 al 19,1,38.96 m2,"S/ 256,773"
525,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2395-san-martin-836-miraflores-lima-lima-edifica,San Martin 836,-12.1278336,-77.0252513,calle san martin 836,Miraflores,En construcción,"31 de Marzo, 2024",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,Tipo 5,Pisos: 12 y 13,2,75.37 m2,"S/ 798,347"
4977,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3180-mum-363-magdalena-del-mar-lima-lima-tale-inmobiliaria,MUM 363,-12.0949881,-77.0552728,Av. Javier Prado Oeste 2291,Magdalena Del Mar,En planos,"31 de Diciembre, 2026",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,X09-A,"Pisos: 4, 6, 8, 10",3,82.93 m2,"S/ 741,000"
3506,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1686-invent-barranco-barranco-lima-lima-invent,Invent Barranco,-12.139058926854377,-77.02226527399256,"AV. Almirante Grau 1310 Barranco, Lima",Barranco,Entrega inmediata,"30 de Junio, 2023",Banco Scotiabank,"['Lobby', 'Video vigilancia', 'Otros']",duplex,TIPO 1,Piso: 22,3,149.66 m2,"S/ 1,398,720"
601,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2782-lord-nelson-419-miraflores-lima-lima-lateral,LORD NELSON 419,-12.112305195913558,-77.0400981900457,Calle Lord Nelson N° 419 esq. con Calle Mariscal Sucre N° 183,Miraflores,En planos,"30 de Junio, 2025",Banco BCP,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Otros']",flat,FL-303,Piso: 4,3,117.72 m2,"$ 384,700"
