,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
2043,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3345-oceanika-san-miguel-lima-lima-san-charbel-edificaciones,OCEANIKA,-12.0922058,-77.0811342,Avenida Bertolloto 570. San Miguel,San Miguel,En planos,"30 de Noviembre, 2026",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 14,Piso: 14,1,33.45 m2,"S/ 296,000"
1402,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2654-albamar-parque-habich-jesus-maria-lima-lima-albamar-grupo-inmobiliario,Albamar | Parque Habich,-12.07210452019679,-77.03913694737307,JR.PABLO BERMUDEZ N N°316 - JESÚS MARÍA,Jesus Maria,En construcción,"30 de Septiembre, 2024",Otros,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 7,Piso: 6,1,39.93 m2,"S/ 348,000"
1417,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-edificio-vista-verde-cercado-de-lima-lima-lima-grupo-mg,Edificio Vista Verde,-12.07185509081883,-77.03196365741557,Jr. Torres Paz 834,Cercado de lima,Entrega inmediata,"31 de Octubre, 2023",Banco BANBIF,"['Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Otros']",flat,TIPO 10-IV,Piso: 17,3,89.50 m2,"S/ 558,950"
1841,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2596-legado-jesus-maria-lima-lima-invent,LEGADO,-12.0820984,-77.0499681,"Jesús María, Av San Felipe 785 -787",Jesus Maria,En planos,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Gimnasio', 'Karaoke', 'Piscina', 'Sala de Niños', 'Terraza', 'Zona de Lavandería', 'Otros']",flat,9,Pisos: Entre 14 al 22,2,75.10 m2,"S/ 597,492"
4293,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2351-liberty-one-lince-lima-lima-procity,LIBERTY ONE,-12.0896464,-77.0420281,avenida manuel villavicencio 1045,Lince,En construcción,"31 de Marzo, 2025",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 3,"Pisos: 5, 9, 11, 16, 17",3,95.14 m2,"$ 244,000"
4465,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2933-the-lead-san-isidro-lima-lima-edifica,The Lead,-12.093732,-77.0266056,"Av rivera navarrete 665, san isidro",San Isidro,En construcción,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",duplex,Tipo 20,Piso: 22,2,138.15 m2,"S/ 1,223,426"
516,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3391-aster-reducto-miraflores-lima-lima-aster-homes,ASTER REDUCTO,-12.13373,-77.0231618,AV REDUCTO 1505,Miraflores,En planos,"30 de Diciembre, 2026",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,X02,Piso: 2,3,82.56 m2,"S/ 830,082"
577,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2451-seed-growing-home-santiago-de-surco-lima-lima-verdant-inmobiliaria,Seed Growing Home,-12.082956197507938,-76.97891973876098,Jr. República de Líbano 173,Santiago De Surco,En construcción,"31 de Agosto, 2024",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X07,"Pisos: 2, 3, 7, 9, 12",2,78.80 m2,"S/ 596,500"
1597,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2711-hanan-cercado-de-lima-lima-lima-redbay-inmobiliaria,HANAN,-12.047064170647085,-77.04955459964717,Av. Oscar R. Benavides - Ex Colonial Nro. 605,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 6,"Pisos: 7, 8, 9, 11, 12",3,68.75 m2,"S/ 417,900"
2704,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2962-eighth-avenue-jesus-maria-lima-lima-beca-inmobiliaria,Eighth Avenue,-12.0849922,-77.0551871,Calle Estados Unidos 831,Jesus Maria,En construcción,"30 de Abril, 2025",Banco Scotiabank,"['Lobby', 'Piscina', 'Terraza']",flat,Tipo 1,Piso: 1,3,80.84 m2,"S/ 678,426"
813,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2787-condominio-portofino-casa-club-jesus-maria-lima-lima-inverplus,Condominio Portofino Casa Club,-12.0850837,-77.04942539999999,Calle Daniel Olaechea 134,Jesus Maria,En construcción,"31 de Octubre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,H,Piso: 8,3,78.16 m2,"S/ 664,000"
3623,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3237-valle-grande-4-carabayllo-lima-lima-enacorp,VALLE GRANDE 4,-11.862355623377484,-77.05571705709315,Av. San Juan de Dios s/n Paradero Haras - Carabayllo,Carabayllo,En construcción,"01 de Noviembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 65,Piso: 1,3,54.74 m2,"S/ 150,000"
2135,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2684-la-paz-2173-san-miguel-lima-lima-mc-inversiones-inmobiliarias,LA PAZ 2173,-12.081141806124323,-77.10300564321362,Av. La Paz 2173 san Miguel,San Miguel,En construcción,"31 de Octubre, 2024",Banco Scotiabank,"['Área de juegos para niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,2 D + E,"Pisos: 2, 4, 8",3,65.00 m2,"S/ 335,000"
4464,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2933-the-lead-san-isidro-lima-lima-edifica,The Lead,-12.093732,-77.0266056,"Av rivera navarrete 665, san isidro",San Isidro,En construcción,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 19,"Pisos: 20, 21, 22",2,60.31 m2,"S/ 707,616"
6325,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2313-mate-surquillo-lima-lima-real-inmobiliaria,Mate,-12.116408616475136,-77.00635260683691,Av. Principal 497,Surquillo,En construcción,"30 de Abril, 2025",BBVA,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,Tipo 2,Piso: 1,3,78.46 m2,"S/ 610,410"
5833,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2037-pueblo-libre-pueblo-libre-lima-lima-ee-inmobiliaria,Pueblo Libre,-12.0837528,-77.0658852,Av. La Marina 449,Pueblo Libre,Entrega inmediata,"29 de Febrero, 2024",Banco BANBIF,['Lobby'],flat,1002,Piso: 10,2,66.04 m2,"S/ 409,000"
4132,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3029-midgo-lince-lima-lima-cosapi,MIDGO,-12.083336182425771,-77.03480061358519,av arequipa 1890,Lince,En planos,"31 de Diciembre, 2026",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Departamento tipo x08,Pisos: Entre 2 al 22,1,58.54 m2,"S/ 537,187"
3951,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2744-alborada-ii-san-miguel-lima-lima-grupo-mg,ALBORADA II,-12.085065492036632,-77.09353208541872,Av. La Paz 1147,San Miguel,En construcción,"31 de Diciembre, 2024",Banco Interbank,"['Jardin de niños', 'Sala de usos Múltiples', 'Terraza']",flat,9,Pisos: Entre 3 al 13,2,51.80 m2,"S/ 296,820"
1717,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3256-dolce-mare-chorrillos-lima-lima-la-muralla,DOLCE MARE,-12.1637028,-77.0231084,"Av. Bajada de Agua Dulce 131, chorrillos",Chorrillos,En planos,"30 de Abril, 2026",BBVA,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,3,Pisos: Entre 2 al 12,3,73.76 m2,"S/ 463,305"
3022,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2298-versa-pueblo-libre-lima-lima-mw-grupo-inmobiliario,VERSA,-12.070259,-77.0645978,Parque San Martin 329,Pueblo Libre,Entrega inmediata,"31 de Mayo, 2024",BBVA,"['Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería']",flat,Tipo 1,Piso: 15,3,80.16 m2,"S/ 616,908"
1322,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria,UNITY,-12.075775495514476,-77.0367550426991,"Av. Arenales N° 1109, Cercado de Lima",Cercado de lima,Entrega inmediata,"30 de Noviembre, 2023",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas']",flat,x04,Pisos: 10 y 11,2,64.85 m2,"S/ 456,500"
2451,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2785-torre-paino-surquillo-lima-lima-tale-inmobiliaria,TORRE PAINO,-12.1027396,-77.0239488,"Avenida Aramburú 668, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Financiamiento Propio,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X09,Pisos: Entre 9 al 22,2,58.40 m2,"S/ 452,000"
4454,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2933-the-lead-san-isidro-lima-lima-edifica,The Lead,-12.093732,-77.0266056,"Av rivera navarrete 665, san isidro",San Isidro,En construcción,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 6,Pisos: Entre 4 al 19,1,45.00 m2,"S/ 540,094"
3324,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2985-toscanini-san-borja-lima-lima-rb-arquitectura,Toscanini,-12.107221696946526,-76.99606775572894,CALLE TOSCANINI 129,San Borja,En planos,"31 de Enero, 2025",Banco BCP,['Lobby'],flat,tipo 1,Piso: 2,3,90.03 m2,"S/ 792,000"
5339,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,Santorini,-12.073561795487,-77.03112064660345,Av. Alejandro Tirado 731,Cercado de lima,En construcción,"01 de Marzo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,S08,Piso: 2,1,42.98 m2,"S/ 273,030"
2202,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3325-edificio-sialia-jesus-maria-lima-lima-grupo-cygnus,Edificio Sialia,-12.0736972,-77.0466613,"Av. 6 de Agosto 1184, Jesús María",Jesus Maria,En planos,"31 de Mayo, 2027",Banco BCP,"['Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,Tipo 1704,Piso: 17,3,150.71 m2,"S/ 1,131,880"
2698,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2304-acacias-del-chipe-piura-piura-piura-edifica,Acacias del Chipe,-5.183968,-80.6577985,Prolongación los Tallanes S/N,Piura,En construcción,"01 de Agosto, 2024",Financiamiento Propio,"['Areas verdes', 'Lobby']",flat,Tipo 4,Piso: 2,3,77.54 m2,"S/ 351,140"
6299,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2841-botanika-jesus-maria-lima-lima-san-charbel-edificaciones,Botanika,-12.0810085676838,-77.05712058350858,Av. Garzón 2160,Jesus Maria,En construcción,"30 de Noviembre, 2025",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 5,"Pisos: 3, 4, 5, 12",2,57.12 m2,"S/ 425,988"
2092,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2764-san-felipe-1190-jesus-maria-lima-lima-v&v-grupo-inmobiliario,SAN FELIPE 1190,-12.081844716493183,-77.04611061233837,av. san felipe 1190,Jesus Maria,En planos,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 205,Piso: 2,1,51.00 m2,"S/ 418,000"
5652,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2621-basadre-1310-san-isidro-lima-lima-fundamenta,Basadre 1310,-12.0957467,-77.0450445,Av. Jorge Basadre 1310 San Isidro,San Isidro,En construcción,"30 de Abril, 2025",Banco BCP,"['Jardin interior', 'Lobby', 'Sala Bar']",flat,TIPOLOGIA 1,Piso: 1,1,111.71 m2,"S/ 1,098,323"
3372,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3357-samoa-santiago-de-surco-lima-lima-ee-inmobiliaria,Samoa,-12.121357906185656,-76.9860847266228,Jr. Batalla de San Juan N° 780,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,['Lobby'],flat,Tipo 01,"Pisos: 2, 3, 4, 5, 6",3,110.70 m2,"$ 215,000"
2620,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2194-elant-fase-2-la-victoria-lima-lima-grupo-lar,Elant Fase 2,-12.0821778,-77.02581760000001,"Av. Canadá 185, La Victoria",La Victoria,En construcción,"31 de Diciembre, 2024",Banco Scotiabank,"['Areas verdes', 'Gimnasio', 'Jardin de niños', 'Karaoke', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Modelo 4 - Fase 2 (B-04),Pisos: Entre 4 al 28,3,69.20 m2,"S/ 476,921"
2245,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3339-guisse-1060-jesus-maria-lima-lima-balance-grupo-inmobiliario,GUISSE 1060,-12.0757311,-77.03996250000002,Jiron Almte. Jorge Martin Guisse 1060,Jesus Maria,En planos,"28 de Febrero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO 5,Piso: 1,1,60.37 m2,"S/ 392,000"
1467,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3214-boulevard-icaro-chorrillos-lima-lima-capac-asociados,BOULEVARD ÍCARO,-12.1766666,-77.00124029999999,Calle ícaro 136,Chorrillos,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Jardin interior', 'Lobby', 'Zona de Parrillas']",flat,AX08,Pisos: Entre 2 al 8,3,61.50 m2,"S/ 323,549"
4346,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3197-luzzo-family-homes-cerro-colorado-arequipa-arequipa-anden,LUZZO Family Homes,-16.3702875,-71.5564844,"JCHV+VCJ, Arequipa 04017",Cerro Colorado,En planos,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,T07,Pisos: Entre 4 al 9,3,72.64 m2,"$ 97,265"
5653,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2621-basadre-1310-san-isidro-lima-lima-fundamenta,Basadre 1310,-12.0957467,-77.0450445,Av. Jorge Basadre 1310 San Isidro,San Isidro,En construcción,"30 de Abril, 2025",Banco BCP,"['Jardin interior', 'Lobby', 'Sala Bar']",flat,TIPOLOGIA 5,Piso: 2,3,208.36 m2,"S/ 2,123,024"
3730,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3112-luxo-san-isidro-lima-lima-urbana-per%C3%BA,Luxo,-12.1047374,-77.0384782,Avenida Manuel Roaud y Paz Soldan 364,San Isidro,En planos,"31 de Mayo, 2026",Banco BCP,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X01 A,"Pisos: 2, 3, 4, 5, 6",1,36.73 m2,"S/ 433,830"
2936,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2390-sbs-1155-san-borja-lima-lima-my-home,SBS 1155,-12.101527,-76.9909851,Av. San Borja Sur 1155,San Borja,Entrega inmediata,"31 de Marzo, 2024",Banco Scotiabank,"['Lobby', 'Zona de Parrillas', 'Otros']",flat,Tipo 2A,Piso: 1,3,90.24 m2,"S/ 830,000"
1370,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2990-friendz-2-chorrillos-lima-lima-hl-desarrollos-inmobiliarios,Friendz 2,-12.175152772790474,-77.00200867335236,Jr. Andromeda Mz J Lote 3,Chorrillos,En construcción,"31 de Mayo, 2025",Banco Pichincha,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala de usos Múltiples', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Tipo 2Y,Pisos: Entre 1 al 6,3,63.52 m2,"S/ 321,284"
6037,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3051-upper-28-miraflores-lima-lima-edifica,Upper 28,-12.1270154,-77.02883159999999,Av. 28 de julio 551,Miraflores,En construcción,"31 de Diciembre, 2025",Financiamiento Propio,"['Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,14,Piso: 2,1,64.75 m2,"S/ 607,086"
6200,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3077-robles-220-san-isidro-lima-lima-qolono-inmobiliaria,ROBLES 220,-12.09234618992928,-77.04306364948592,ROBLES 220,San Isidro,En planos,"01 de Diciembre, 2025",Banco BCP,"['Areas verdes', 'Lobby', 'Video vigilancia']",flat,TIPICO2,"Pisos: 2, 3, 4, 5",3,111.42 m2,"$ 282,500"
4813,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3327-colon-524-miraflores-lima-lima-constructora-magnifica,Colón 524,-12.1282973,-77.031466,Colón 524,Miraflores,En construcción,"31 de Diciembre, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Otros']",flat,TIPO Y04,Pisos: 6 y 8,2,74.80 m2,"$ 197,800"
3060,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2741-cor-tower-la-victoria-lima-lima-quatro-inmobiliaria,COR TOWER,-12.0853621,-77.0155383,"Avenida José de Rivadeneyra 1093, La Victoria",La Victoria,En construcción,"31 de Marzo, 2025",Banco Scotiabank,"['Gimnasio', 'Jardin de niños', 'Karaoke', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,C,Pisos: Entre 8 al 22,3,69.50 m2,"S/ 463,786"
880,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v&v-grupo-inmobiliario,Gaviotas 176,-12.182188,-77.007618,"Av. Las Gaviotas 176, Chorrillos 15064",Chorrillos,En planos,"31 de Mayo, 2027",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,T2X203,Piso: 2,1,39.48 m2,"S/ 206,000"
6126,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2996-albamar-arenales-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,Albamar | Arenales,-12.0755558,-77.03683269999999,Av. Arenales 1093,Cercado de lima,En construcción,"30 de Noviembre, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO 6,"Pisos: 4, 5, 6, 22",1,29.40 m2,"S/ 257,900"
1208,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2759-residencial-valenti-pueblo-libre-lima-lima-barqueros-inmobiliaria,Residencial Valenti,-12.0694418,-77.0679439,Calle América 260 - Pueblo libre,Pueblo Libre,En construcción,"30 de Junio, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO A,Piso:,1,54.87 m2,"S/ 488,158"
2285,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3220-concepto-one-place-miraflores-lima-lima-imagina,Concepto One Place,-12.126733790965543,-77.01813465839908,Roosevelt 6260,Miraflores,En planos,"31 de Diciembre, 2026",BBVA,"['Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,2D+E+K,Pisos: Entre 4 al 20,2,69.39 m2,"S/ 545,468"
3373,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3357-samoa-santiago-de-surco-lima-lima-ee-inmobiliaria,Samoa,-12.121357906185656,-76.9860847266228,Jr. Batalla de San Juan N° 780,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,['Lobby'],flat,Tipo 02,"Pisos: 2, 3, 4, 5, 6",2,71.18 m2,"$ 145,000"
4838,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3411-las-donas-santiago-de-surco-lima-lima-constructora-atlas,LAS DOÑAS,-12.1376931,-76.9973407,jr doña catalina 351 357,Santiago De Surco,En construcción,"30 de Abril, 2025",Banco BCP,"['Cuarto servicio', 'Lobby']",flat,TIPO 1,Piso: 1,3,184.07 m2,"$ 265,955"
6388,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,1,Piso: 13,1,35.21 m2,"S/ 438,128"
5344,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,Santorini,-12.073561795487,-77.03112064660345,Av. Alejandro Tirado 731,Cercado de lima,En construcción,"01 de Marzo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,S14,Piso: 2,1,43.60 m2,"S/ 274,451"
1979,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2708-be-magdalena-del-mar-lima-lima-san-charbel-edificaciones,BE/,-12.088593613085154,-77.06527662270675,Av. Brasil 3198 cruce con Jr. Ayacucho,Magdalena Del Mar,En construcción,"30 de Septiembre, 2025",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 1A,"Pisos: 3, 4, 5",3,77.05 m2,"S/ 604,759"
4846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3385-albamar-re-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,Albamar | Re+,-12.0483111,-77.06417139999999,"Av. Oscar R. Benavides 1740, Cercado de lima",Cercado de lima,En planos,"31 de Diciembre, 2026",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas']",flat,TIPO 2,Pisos: Entre 3 al 23,3,65.94 m2,"S/ 326,000"
4022,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3235-ako-san-miguel-lima-lima-reyna-grupo-inmobiliario,AKO,-12.089302098619292,-77.08310993479519,Jr. Arica 859,San Miguel,En planos,"30 de Octubre, 2025",Financiamiento Propio,"['Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,Tipologia 10,Pisos: Entre 1 al 7,3,70.18 m2,"S/ 462,563"
6445,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2668-tradiciones-prime-miraflores-lima-lima-grupo-cygnus,Tradiciones Prime,-12.1202885,-77.02165880000001,Calle General vargas machuca 246,Miraflores,Entrega inmediata,"31 de Agosto, 2023",Banco BCP,[],flat,201,Piso: 2,3,130.29 m2,"S/ 1,175,909"
